TA,Target,Assigned
JK,311,375
HH,138,104
AC,111,323
AET,458,421
SW,174,172
BS,242,193
EB,39,222
LM,225,477
DJ,355,354
FP,372,368
ZL,424,268
CJH,305,275
KT,525,336
IS,0,54
MA,0,159
LK,248,456
ML,0,163
HN,211,206
NP,446,319
WL,553,360
KC,429,396
IB,510,462
MV,458,438
JZ,416,231
FR,409,398
GP,436,312
AS,245,205
GAW,163,336
Ebr,1,307
SD,0,0
RK,0,0
MR,232,0
KEK,32,155
PL,122,0
AB,377,292
NH,379,247
Mec1,117,0
Aut1,117,0
LN,204,193
IK,379,294
AA,48,72
ALL,117,63
AL,358,66
QZ,321,155
Mec2,88,0
Mec3,44,0
