TA,num_courses,new_courses,num_man,new_man
JK,3,2,1,0
HH,0,0,0,0
AL,3,2,3,2
AET,3,3,1,0
SW,3,3,1,0
BS,3,3,2,0
EB,3,3,1,0
LM,3,3,2,0
DJ,3,3,2,0
FP,3,3,2,0
ZL,3,3,3,0
CJH,3,3,1,0
KT,3,3,3,0
IS,3,3,1,0
MA,3,3,1,0
LK,3,3,2,0
ML,3,3,1,0
HN,3,3,1,0
NP,3,2,2,0
WL,3,3,0,0
KC,3,2,2,1
IB,3,2,3,0
MV,3,3,2,0
JZ,3,3,2,1
FR,3,3,4,0
GP,3,3,0,0
AS,3,3,0,0
GAW,3,2,1,0
Ebr,3,3,1,0
SD,3,3,0,0
RK,3,3,0,0
MR,3,3,0,0
KEK,3,3,0,0
PL,3,3,1,1
AB,3,3,2,0
NH,3,3,3,0
Mec1,3,3,2,2
Aut1,3,3,1,1
LN,3,3,2,0
IK,3,3,3,0
QZ,3,3,2,1
ALL,3,3,2,1
Mec2,3,3,2,2
Mec3,3,3,1,1
